land,city,name,category,lat,lon,url,partner_since,person
Baden-Württemberg,Mannheim,Universität Mannheim ,KI-Campus-Original ,49487.0,8466.0,https://ki-campus.org/courses/aivet-um-2021,,
Baden-Württemberg,Mannheim,Universtität Mannheim,Lehr-Fellowship,49487.0,8466.0,https://ki-campus.org/forschungskolleg,,Marc Egloffstein
Rheinland- Pfalz,Mainz,Hochschule Mainz,Lehr-Fellowship,49992.0,8247.0,https://ki-campus.org/fellowships,,Matthias Brunnbauer
Sachsen-Anhalt,Magdeburg,Universität Magdeburg,Forschungskolleg-Fellowship,52120.0,11627.0,https://ki-campus.org/forschungskolleg,,Johannes Schleiß
Sachsen-Anhalt,Magdeburg,Universität Magdeburg,Forschungskolleg-Fellowship,52120.0,11627.0,,,
Sachsen-Anhalt,Magdeburg,Universität Magdeburg,Lehr-Fellowship,52120.0,11627.0,https://ki-campus.org/fellowship-2021?locale=en,,"Prof. Dr.-Ing. Sebastian Stober, Johannes Schleiß"
Niederlande,Maastricht,European MOOC Consortium (EMC),Partner,50851.0,5691.0,KI-Campus wird Mitglied im European MOOC Consortium | KI-Campus,,
Niedersachsen ,Lüneburg,Leuphana Universität Lüneburg,Forschungskolleg-Fellowship,53247.0,10416.0,https://ki-campus.org/forschungskolleg,,Prof. Dr. Dana-Kristin Mah
Schleswig-Holstein ,Lübeck,MACH,KI-Campus-Original ,53865.0,10686.0,https://ki-campus.org/courses/kioev-ul2021,,
Schleswig-Holstein ,Lübeck,Universität zu Lübeck,KI-Campus-Original ,53865.0,10686.0,https://ki-campus.org/courses/kioev-ul2021,,
Sachsen ,Leipzig,Universität Leipzig,KI-Campus-Original ,51339.0,12373.0,https://ki-campus.org/courses/wwweki,,
Sachsen ,Leipzig,Universität Leipzig,Lehr-Fellowship,51339.0,12373.0,https://ki-campus.org/node/648,,"Prof. Dr. Roland Happ, Jacqueline Marie-Charlotte Schmidt"
Brandenburg,Königs Wusterhausen,Landesakademie für öffentliche Verwaltung Brandenburg (LakÖV),KI-Campus-Original ,52295.0,13622.0,https://ki-campus.org/courses/kioev-ul2021,,
Nordrhein-Westfalen,Köln,Technische Hochschule Köln,Forschungskolleg-Fellowship,50937.0,6960.0,https://ki-campus.org/forschungskolleg,,Katharina Bata
Nordrhein-Westfalen,Köln,eco - Verband der Internetwirtschaft e.V,KI-Campus-Original ,50937.0,6960.0,https://ki-campus.org/courses/ki-im-techservice,,
Nordrhein-Westfalen,Köln,TH Köln,KI-Campus-Original ,50937.0,6960.0,https://ki-campus.org/courses/dali-basis-THK2021,,
Nordrhein-Westfalen,Köln,TH Köln,Lehr-Fellowship,50937.0,6960.0,https://ki-campus.org/node/648,,"Prof. Dr. Angela Schmitz, Katharina Bata"
Nordrhein-Westfalen,Köln,Universität Köln,Lehr-Fellowship,50937.0,6960.0,https://ki-campus.org/fellowship-2021?locale=en,,"Dr. Claes Neuefeind, Timothée Schmude"
